"","county_name","party","year","candidate","candidatevotes","totalvotes","percent"
"939","KITTITAS","REPUBLICAN",2004,"GEORGE W. BUSH",9052,16084,56.2795324546133
"940","KITTSON","REPUBLICAN",2020,"DONALD J TRUMP",1546,2639,58.582796513831
"941","KLAMATH","REPUBLICAN",2004,"GEORGE W. BUSH",22733,31515,72.1339044899254
"942","KLEBERG","REPUBLICAN",2004,"GEORGE W. BUSH",5366,9973,53.8052742404492
"943","KLICKITAT","REPUBLICAN",2000,"GEORGE W. BUSH",4557,8180,55.7090464547677
"944","KNOTT","REPUBLICAN",2020,"DONALD J TRUMP",4779,6251,76.4517677171653
"945","KNOX","REPUBLICAN",2012,"MITT ROMNEY",167958,279988,59.9875708958955
"946","KOOCHICHING","REPUBLICAN",2020,"DONALD J TRUMP",4131,6922,59.6792834440913
"947","KOOTENAI","REPUBLICAN",2020,"DONALD J TRUMP",62837,89467,70.234835190629
"948","KOSCIUSKO","REPUBLICAN",2004,"GEORGE W. BUSH",22136,28360,78.0535966149506
"949","KOSSUTH","REPUBLICAN",2016,"DONALD TRUMP",5653,8607,65.6790984082723
"950","LA CROSSE","DEMOCRAT",2008,"BARACK OBAMA",38524,63218,60.938340346104
"951","LA PAZ","REPUBLICAN",2016,"DONALD TRUMP",4003,5951,67.2660057133255
"952","LA PLATA","DEMOCRAT",2020,"JOSEPH R BIDEN JR",20548,35667,57.6106765357333
"953","LA SALLE","REPUBLICAN",2020,"DONALD J TRUMP",7713,9483,81.3350205631129
"954","LABETTE","REPUBLICAN",2020,"DONALD J TRUMP",5735,8563,66.9741912881
"955","LAC QUI PARLE","REPUBLICAN",2020,"DONALD J TRUMP",2528,4040,62.5742574257426
"956","LACKAWANNA","DEMOCRAT",2012,"BARACK OBAMA",61838,98015,63.0903433147988
"957","LACLEDE","REPUBLICAN",2020,"DONALD J TRUMP",13762,16793,81.9508128386828
"958","LAFAYETTE","REPUBLICAN",2016,"DONALD TRUMP",98599,155036,63.5974870352692
"959","LAFOURCHE","REPUBLICAN",2020,"DONALD J TRUMP",36024,45388,79.3689962104521
"960","LAGRANGE","REPUBLICAN",2020,"DONALD J TRUMP",8110,10633,76.271983447757
"961","LAKE","DEMOCRAT",2008,"BARACK OBAMA",475232,842849,56.384002353921
"962","LAKE OF THE WOODS","REPUBLICAN",2020,"DONALD J TRUMP",1704,2408,70.7641196013289
"963","LAMAR","REPUBLICAN",2016,"DONALD TRUMP",44325,57781,76.7120679808241
"964","LAMB","REPUBLICAN",2020,"DONALD J TRUMP",3521,4410,79.8412698412698
"965","LAMOILLE","DEMOCRAT",2008,"BARACK OBAMA",8914,12668,70.3662772339754
"966","LAMOURE","REPUBLICAN",2020,"DONALD J TRUMP",1645,2219,74.1324921135647
"967","LAMPASAS","REPUBLICAN",2012,"MITT ROMNEY",5621,7204,78.0260966129928
"968","LANCASTER","REPUBLICAN",2004,"GEORGE W. BUSH",231995,372831,62.2252441454707
"969","LANDER","REPUBLICAN",2020,"DONALD J TRUMP",2198,2765,79.4936708860759
"970","LANE","DEMOCRAT",2008,"BARACK OBAMA",114230,183937,62.1027851927562
"971","LANGLADE","REPUBLICAN",2020,"DONALD J TRUMP",7330,11165,65.6515897895208
"972","LANIER","REPUBLICAN",2016,"DONALD TRUMP",1984,2871,69.1048415186346
